Economy,CCODE,DBYEAR,CAL_YEAR,Indicator,IndicatorDescription,value
Afghanistan,AFG,DB2005,2004,DTF,DTF,28.86
Afghanistan,AFG,DB2005,2004,DWC,Dealing with Construction Permits,..
Afghanistan,AFG,DB2005,2004,EC,Enforcing Contracts,30.25
Afghanistan,AFG,DB2005,2004,GC,Getting Credit,6.25
Afghanistan,AFG,DB2005,2004,GE,Getting Electricity,..
Afghanistan,AFG,DB2005,2004,PMI,Protecting Minority Investors,..
Afghanistan,AFG,DB2005,2004,PT,Paying Taxes,..
Afghanistan,AFG,DB2005,2004,RI,Resolving Insolvency,0
Afghanistan,AFG,DB2005,2004,RP,Registering Property,23.33
Afghanistan,AFG,DB2005,2004,SB,Starting a Business,84.45
Afghanistan,AFG,DB2005,2004,TAB,Trading Across Borders,..
Afghanistan,AFG,DB2006,2005,DTF,DTF,30.31
Afghanistan,AFG,DB2006,2005,DWC,Dealing with Construction Permits,26.87
Afghanistan,AFG,DB2006,2005,EC,Enforcing Contracts,30.25
Afghanistan,AFG,DB2006,2005,GC,Getting Credit,6.25
Afghanistan,AFG,DB2006,2005,GE,Getting Electricity,..
Afghanistan,AFG,DB2006,2005,PMI,Protecting Minority Investors,10
Afghanistan,AFG,DB2006,2005,PT,Paying Taxes,75.81
Afghanistan,AFG,DB2006,2005,RI,Resolving Insolvency,0
Afghanistan,AFG,DB2006,2005,RP,Registering Property,23.33
Afghanistan,AFG,DB2006,2005,SB,Starting a Business,84.05
Afghanistan,AFG,DB2006,2005,TAB,Trading Across Borders,16.22
Afghanistan,AFG,DB2007,2006,DTF,DTF,30.72
Afghanistan,AFG,DB2007,2006,DWC,Dealing with Construction Permits,26.87
Afghanistan,AFG,DB2007,2006,EC,Enforcing Contracts,30.25
Afghanistan,AFG,DB2007,2006,GC,Getting Credit,6.25
Afghanistan,AFG,DB2007,2006,GE,Getting Electricity,..
Afghanistan,AFG,DB2007,2006,PMI,Protecting Minority Investors,10
Afghanistan,AFG,DB2007,2006,PT,Paying Taxes,75.81
Afghanistan,AFG,DB2007,2006,RI,Resolving Insolvency,0
Afghanistan,AFG,DB2007,2006,RP,Registering Property,23.33
Afghanistan,AFG,DB2007,2006,SB,Starting a Business,85.03
Afghanistan,AFG,DB2007,2006,TAB,Trading Across Borders,18.97
Afghanistan,AFG,DB2008,2007,DTF,DTF,34.11
Afghanistan,AFG,DB2008,2007,DWC,Dealing with Construction Permits,26.87
Afghanistan,AFG,DB2008,2007,EC,Enforcing Contracts,30.25
Afghanistan,AFG,DB2008,2007,GC,Getting Credit,6.25
Afghanistan,AFG,DB2008,2007,GE,Getting Electricity,..
Afghanistan,AFG,DB2008,2007,PMI,Protecting Minority Investors,10
Afghanistan,AFG,DB2008,2007,PT,Paying Taxes,74.14
Afghanistan,AFG,DB2008,2007,RI,Resolving Insolvency,27.07
Afghanistan,AFG,DB2008,2007,RP,Registering Property,28.89
Afghanistan,AFG,DB2008,2007,SB,Starting a Business,82.87
Afghanistan,AFG,DB2008,2007,TAB,Trading Across Borders,20.65
Afghanistan,AFG,DB2009,2008,DTF,DTF,34.34
Afghanistan,AFG,DB2009,2008,DWC,Dealing with Construction Permits,26.87
Afghanistan,AFG,DB2009,2008,EC,Enforcing Contracts,30.25
Afghanistan,AFG,DB2009,2008,GC,Getting Credit,6.25
Afghanistan,AFG,DB2009,2008,GE,Getting Electricity,..
Afghanistan,AFG,DB2009,2008,PMI,Protecting Minority Investors,10
Afghanistan,AFG,DB2009,2008,PT,Paying Taxes,74.14
Afghanistan,AFG,DB2009,2008,RI,Resolving Insolvency,26.16
Afghanistan,AFG,DB2009,2008,RP,Registering Property,28.89
Afghanistan,AFG,DB2009,2008,SB,Starting a Business,86.02
Afghanistan,AFG,DB2009,2008,TAB,Trading Across Borders,20.47
Afghanistan,AFG,DB2010,2009,DTF,DTF,40.69
Afghanistan,AFG,DB2010,2009,DWC,Dealing with Construction Permits,26.87
Afghanistan,AFG,DB2010,2009,EC,Enforcing Contracts,30.25
Afghanistan,AFG,DB2010,2009,GC,Getting Credit,37.5
Afghanistan,AFG,DB2010,2009,GE,Getting Electricity,58.57
Afghanistan,AFG,DB2010,2009,PMI,Protecting Minority Investors,10
Afghanistan,AFG,DB2010,2009,PT,Paying Taxes,74.14
Afghanistan,AFG,DB2010,2009,RI,Resolving Insolvency,26.16
Afghanistan,AFG,DB2010,2009,RP,Registering Property,35.56
Afghanistan,AFG,DB2010,2009,SB,Starting a Business,90.18
Afghanistan,AFG,DB2010,2009,TAB,Trading Across Borders,17.71
Afghanistan,AFG,DB2011,2010,DTF,DTF,37.96
Afghanistan,AFG,DB2011,2010,DWC,Dealing with Construction Permits,26.87
Afghanistan,AFG,DB2011,2010,EC,Enforcing Contracts,30.25
Afghanistan,AFG,DB2011,2010,GC,Getting Credit,37.5
Afghanistan,AFG,DB2011,2010,GE,Getting Electricity,37.66
Afghanistan,AFG,DB2011,2010,PMI,Protecting Minority Investors,10
Afghanistan,AFG,DB2011,2010,PT,Paying Taxes,74.14
Afghanistan,AFG,DB2011,2010,RI,Resolving Insolvency,28
Afghanistan,AFG,DB2011,2010,RP,Registering Property,33.33
Afghanistan,AFG,DB2011,2010,SB,Starting a Business,90.62
Afghanistan,AFG,DB2011,2010,TAB,Trading Across Borders,11.26
Afghanistan,AFG,DB2012,2011,DTF,DTF,39.45
Afghanistan,AFG,DB2012,2011,DWC,Dealing with Construction Permits,26.87
Afghanistan,AFG,DB2012,2011,EC,Enforcing Contracts,30.25
Afghanistan,AFG,DB2012,2011,GC,Getting Credit,37.5
Afghanistan,AFG,DB2012,2011,GE,Getting Electricity,49.14
Afghanistan,AFG,DB2012,2011,PMI,Protecting Minority Investors,10
Afghanistan,AFG,DB2012,2011,PT,Paying Taxes,74.14
Afghanistan,AFG,DB2012,2011,RI,Resolving Insolvency,28.49
Afghanistan,AFG,DB2012,2011,RP,Registering Property,33.33
Afghanistan,AFG,DB2012,2011,SB,Starting a Business,90.73
Afghanistan,AFG,DB2012,2011,TAB,Trading Across Borders,14.1
Afghanistan,AFG,DB2013,2012,DTF,DTF,40.08
Afghanistan,AFG,DB2013,2012,DWC,Dealing with Construction Permits,26.87
Afghanistan,AFG,DB2013,2012,EC,Enforcing Contracts,30.25
Afghanistan,AFG,DB2013,2012,GC,Getting Credit,37.5
Afghanistan,AFG,DB2013,2012,GE,Getting Electricity,52.15
Afghanistan,AFG,DB2013,2012,PMI,Protecting Minority Investors,10
Afghanistan,AFG,DB2013,2012,PT,Paying Taxes,74.14
Afghanistan,AFG,DB2013,2012,RI,Resolving Insolvency,28.42
Afghanistan,AFG,DB2013,2012,RP,Registering Property,33.33
Afghanistan,AFG,DB2013,2012,SB,Starting a Business,91.15
Afghanistan,AFG,DB2013,2012,TAB,Trading Across Borders,16.97
Afghanistan,AFG,DB2014,2013,DTF,DTF,41.28
Afghanistan,AFG,DB2014,2013,DWC,Dealing with Construction Permits,27.25
Afghanistan,AFG,DB2014,2013,EC,Enforcing Contracts,31.29
Afghanistan,AFG,DB2014,2013,GC,Getting Credit,43.75
Afghanistan,AFG,DB2014,2013,GE,Getting Electricity,59.43
Afghanistan,AFG,DB2014,2013,PMI,Protecting Minority Investors,10
Afghanistan,AFG,DB2014,2013,PT,Paying Taxes,74.39
Afghanistan,AFG,DB2014,2013,RI,Resolving Insolvency,28.49
Afghanistan,AFG,DB2014,2013,RP,Registering Property,33.33
Afghanistan,AFG,DB2014,2013,SB,Starting a Business,94.13
Afghanistan,AFG,DB2014,2013,TAB,Trading Across Borders,10.76
Afghanistan,AFG,DB2015,2014,DTF,DTF,40.65
Afghanistan,AFG,DB2015,2014,DWC,Dealing with Construction Permits,22.94
Afghanistan,AFG,DB2015,2014,EC,Enforcing Contracts,35.11
Afghanistan,AFG,DB2015,2014,GC,Getting Credit,45
Afghanistan,AFG,DB2015,2014,GE,Getting Electricity,45.82
Afghanistan,AFG,DB2015,2014,PMI,Protecting Minority Investors,10
Afghanistan,AFG,DB2015,2014,PT,Paying Taxes,74.14
Afghanistan,AFG,DB2015,2014,RI,Resolving Insolvency,23.6
Afghanistan,AFG,DB2015,2014,RP,Registering Property,27.5
Afghanistan,AFG,DB2015,2014,SB,Starting a Business,93.54
Afghanistan,AFG,DB2015,2014,TAB,Trading Across Borders,28.9
Afghanistan,AFG,DB2016,2015,DTF,DTF,40.58
Afghanistan,AFG,DB2016,2015,DWC,Dealing with Construction Permits,22.94
Afghanistan,AFG,DB2016,2015,EC,Enforcing Contracts,35.11
Afghanistan,AFG,DB2016,2015,GC,Getting Credit,45
Afghanistan,AFG,DB2016,2015,GE,Getting Electricity,45.52
Afghanistan,AFG,DB2016,2015,PMI,Protecting Minority Investors,10
Afghanistan,AFG,DB2016,2015,PT,Paying Taxes,74.14
Afghanistan,AFG,DB2016,2015,RI,Resolving Insolvency,23.62
Afghanistan,AFG,DB2016,2015,RP,Registering Property,27.5
Afghanistan,AFG,DB2016,2015,SB,Starting a Business,93.05
Afghanistan,AFG,DB2016,2015,TAB,Trading Across Borders,28.9
Albania,ALB,DB2004,2003,DTF,DTF,54.52
Albania,ALB,DB2004,2003,DWC,Dealing with Construction Permits,..
Albania,ALB,DB2004,2003,EC,Enforcing Contracts,59.4
Albania,ALB,DB2004,2003,GC,Getting Credit,..
Albania,ALB,DB2004,2003,GE,Getting Electricity,..
Albania,ALB,DB2004,2003,PMI,Protecting Minority Investors,..
Albania,ALB,DB2004,2003,PT,Paying Taxes,..
Albania,ALB,DB2004,2003,RI,Resolving Insolvency,40.49
Albania,ALB,DB2004,2003,RP,Registering Property,..
Albania,ALB,DB2004,2003,SB,Starting a Business,63.68
Albania,ALB,DB2004,2003,TAB,Trading Across Borders,..
Albania,ALB,DB2005,2004,DTF,DTF,54.08
Albania,ALB,DB2005,2004,DWC,Dealing with Construction Permits,..
Albania,ALB,DB2005,2004,EC,Enforcing Contracts,59.4
Albania,ALB,DB2005,2004,GC,Getting Credit,56.25
Albania,ALB,DB2005,2004,GE,Getting Electricity,..
Albania,ALB,DB2005,2004,PMI,Protecting Minority Investors,..
Albania,ALB,DB2005,2004,PT,Paying Taxes,..
Albania,ALB,DB2005,2004,RI,Resolving Insolvency,41.22
Albania,ALB,DB2005,2004,RP,Registering Property,46.24
Albania,ALB,DB2005,2004,SB,Starting a Business,67.28
Albania,ALB,DB2005,2004,TAB,Trading Across Borders,..
Albania,ALB,DB2006,2005,DTF,DTF,50.76
Albania,ALB,DB2006,2005,DWC,Dealing with Construction Permits,44.54
Albania,ALB,DB2006,2005,EC,Enforcing Contracts,59.4
Albania,ALB,DB2006,2005,GC,Getting Credit,56.25
Albania,ALB,DB2006,2005,GE,Getting Electricity,..
Albania,ALB,DB2006,2005,PMI,Protecting Minority Investors,26.67
Albania,ALB,DB2006,2005,PT,Paying Taxes,44.58
Albania,ALB,DB2006,2005,RI,Resolving Insolvency,43.09
Albania,ALB,DB2006,2005,RP,Registering Property,46.24
Albania,ALB,DB2006,2005,SB,Starting a Business,67.25
Albania,ALB,DB2006,2005,TAB,Trading Across Borders,68.85
Albania,ALB,DB2007,2006,DTF,DTF,49.6
Albania,ALB,DB2007,2006,DWC,Dealing with Construction Permits,34.91
Albania,ALB,DB2007,2006,EC,Enforcing Contracts,59.4
Albania,ALB,DB2007,2006,GC,Getting Credit,56.25
Albania,ALB,DB2007,2006,GE,Getting Electricity,..
Albania,ALB,DB2007,2006,PMI,Protecting Minority Investors,23.33
Albania,ALB,DB2007,2006,PT,Paying Taxes,46.05
Albania,ALB,DB2007,2006,RI,Resolving Insolvency,42.09
Albania,ALB,DB2007,2006,RP,Registering Property,46.24
Albania,ALB,DB2007,2006,SB,Starting a Business,69.04
Albania,ALB,DB2007,2006,TAB,Trading Across Borders,69.08
Albania,ALB,DB2008,2007,DTF,DTF,50.7
Albania,ALB,DB2008,2007,DWC,Dealing with Construction Permits,44.73
Albania,ALB,DB2008,2007,EC,Enforcing Contracts,59.4
Albania,ALB,DB2008,2007,GC,Getting Credit,56.25
Albania,ALB,DB2008,2007,GE,Getting Electricity,..
Albania,ALB,DB2008,2007,PMI,Protecting Minority Investors,23.33
Albania,ALB,DB2008,2007,PT,Paying Taxes,48.74
Albania,ALB,DB2008,2007,RI,Resolving Insolvency,39.59
Albania,ALB,DB2008,2007,RP,Registering Property,46.24
Albania,ALB,DB2008,2007,SB,Starting a Business,68.21
Albania,ALB,DB2008,2007,TAB,Trading Across Borders,69.77
Albania,ALB,DB2009,2008,DTF,DTF,61.1
Albania,ALB,DB2009,2008,DWC,Dealing with Construction Permits,44.73
Albania,ALB,DB2009,2008,EC,Enforcing Contracts,59.4
Albania,ALB,DB2009,2008,GC,Getting Credit,87.5
Albania,ALB,DB2009,2008,GE,Getting Electricity,..
Albania,ALB,DB2009,2008,PMI,Protecting Minority Investors,70
Albania,ALB,DB2009,2008,PT,Paying Taxes,49.45
Albania,ALB,DB2009,2008,RI,Resolving Insolvency,41.67
Albania,ALB,DB2009,2008,RP,Registering Property,47.5
Albania,ALB,DB2009,2008,SB,Starting a Business,79.98
Albania,ALB,DB2009,2008,TAB,Trading Across Borders,69.69
Albania,ALB,DB2010,2009,DTF,DTF,62.17
Albania,ALB,DB2010,2009,DWC,Dealing with Construction Permits,44.8
Albania,ALB,DB2010,2009,EC,Enforcing Contracts,59.4
Albania,ALB,DB2010,2009,GC,Getting Credit,87.5
Albania,ALB,DB2010,2009,GE,Getting Electricity,57.76
Albania,ALB,DB2010,2009,PMI,Protecting Minority Investors,70
Albania,ALB,DB2010,2009,PT,Paying Taxes,52.43
Albania,ALB,DB2010,2009,RI,Resolving Insolvency,41.67
Albania,ALB,DB2010,2009,RP,Registering Property,50.55
Albania,ALB,DB2010,2009,SB,Starting a Business,85.51
Albania,ALB,DB2010,2009,TAB,Trading Across Borders,72.1
Albania,ALB,DB2011,2010,DTF,DTF,62.34
Albania,ALB,DB2011,2010,DWC,Dealing with Construction Permits,44.81
Albania,ALB,DB2011,2010,EC,Enforcing Contracts,60.52
Albania,ALB,DB2011,2010,GC,Getting Credit,87.5
Albania,ALB,DB2011,2010,GE,Getting Electricity,57.76
Albania,ALB,DB2011,2010,PMI,Protecting Minority Investors,70
Albania,ALB,DB2011,2010,PT,Paying Taxes,54.49
Albania,ALB,DB2011,2010,RI,Resolving Insolvency,41.89
Albania,ALB,DB2011,2010,RP,Registering Property,48.63
Albania,ALB,DB2011,2010,SB,Starting a Business,85.56
Albania,ALB,DB2011,2010,TAB,Trading Across Borders,72.22
Albania,ALB,DB2012,2011,DTF,DTF,58.67
Albania,ALB,DB2012,2011,DWC,Dealing with Construction Permits,0
Albania,ALB,DB2012,2011,EC,Enforcing Contracts,60.52
Albania,ALB,DB2012,2011,GC,Getting Credit,87.5
Albania,ALB,DB2012,2011,GE,Getting Electricity,57.88
Albania,ALB,DB2012,2011,PMI,Protecting Minority Investors,70
Albania,ALB,DB2012,2011,PT,Paying Taxes,54.87
Albania,ALB,DB2012,2011,RI,Resolving Insolvency,43.29
Albania,ALB,DB2012,2011,RP,Registering Property,54.41
Albania,ALB,DB2012,2011,SB,Starting a Business,86
Albania,ALB,DB2012,2011,TAB,Trading Across Borders,72.26
Albania,ALB,DB2013,2012,DTF,DTF,58.9
Albania,ALB,DB2013,2012,DWC,Dealing with Construction Permits,0
Albania,ALB,DB2013,2012,EC,Enforcing Contracts,58.89
Albania,ALB,DB2013,2012,GC,Getting Credit,87.5
Albania,ALB,DB2013,2012,GE,Getting Electricity,57.93
Albania,ALB,DB2013,2012,PMI,Protecting Minority Investors,70
Albania,ALB,DB2013,2012,PT,Paying Taxes,55.5
Albania,ALB,DB2013,2012,RI,Resolving Insolvency,42.58
Albania,ALB,DB2013,2012,RP,Registering Property,55.58
Albania,ALB,DB2013,2012,SB,Starting a Business,88.59
Albania,ALB,DB2013,2012,TAB,Trading Across Borders,72.41
Albania,ALB,DB2014,2013,DTF,DTF,59.37
