Country_Name,Country_Code,Indicator_Name,CY2007,CY2012
Afghanistan,AFG,Net migration,-677497,473007
Albania,ALB,Net migration,-252926,-91750
Algeria,DZA,Net migration,-357340,-143268
Angola,AGO,Net migration,85286,102322
Antigua and Barbuda,ATG,Net migration,-92,-56
Argentina,ARG,Net migration,-84998,30000
Armenia,ARM,Net migration,-136009,-9876
Aruba,ABW,Net migration,-441,1253
Australia,AUS,Net migration,1132688,1023107
Austria,AUT,Net migration,153763,147089
Azerbaijan,AZE,Net migration,-96798,-16125
"Bahamas, The",BHS,Net migration,14363,9672
Bahrain,BHR,Net migration,316544,29915
Bangladesh,BGD,Net migration,-3570954,-2226481
Barbados,BRB,Net migration,2050,2180
Belarus,BLR,Net migration,63933,120535
Belgium,BEL,Net migration,267204,269998
Belize,BLZ,Net migration,8722,7594
Benin,BEN,Net migration,50000,-10000
Bhutan,BTN,Net migration,16829,10000
Bolivia,BOL,Net migration,-84003,-61794
Bosnia and Herzegovina,BIH,Net migration,3677,-2506
Botswana,BWA,Net migration,18730,20000
Brazil,BRA,Net migration,0,15924
Brunei Darussalam,BRN,Net migration,2441,2102
Bulgaria,BGR,Net migration,-83002,-50000
Burkina Faso,BFA,Net migration,-125000,-125000
Burundi,BDI,Net migration,163733,40000
Cabo Verde,CPV,Net migration,-25866,-11052
Cambodia,KHM,Net migration,-295987,-149999
Cameroon,CMR,Net migration,-90000,-60000
Canada,CAN,Net migration,1229905,1175863
Central African Republic,CAF,Net migration,5000,10000
Chad,TCD,Net migration,70000,100000
Channel Islands,CHI,Net migration,4479,3654
Chile,CHL,Net migration,139345,201289
China,CHN,Net migration,-2202103,-1800000
Colombia,COL,Net migration,-143000,-144998
Comoros,COM,Net migration,-10000,-10000
"Congo, Dem. Rep.",COD,Net migration,-43426,-95920
"Congo, Rep.",COG,Net migration,49872,-60000
Costa Rica,CRI,Net migration,30339,19658
Cote d'Ivoire,CIV,Net migration,-220000,50000
Croatia,HRV,Net migration,-22532,-20000
Cuba,CUB,Net migration,-193998,-79999
Curacao,CUW,Net migration,15363,5710
Cyprus,CYP,Net migration,44166,35000
Czech Republic,CZE,Net migration,250889,29999
Denmark,DNK,Net migration,87989,96839
Djibouti,DJI,Net migration,-19965,-15996
Dominican Republic,DOM,Net migration,-153773,-153010
Ecuador,ECU,Net migration,-44999,-38001
"Egypt, Arab Rep.",EGY,Net migration,-279228,-215681
El Salvador,SLV,Net migration,-285671,-240415
Equatorial Guinea,GNQ,Net migration,20000,20000
Eritrea,ERI,Net migration,-160001,-160001
Estonia,EST,Net migration,-15151,-11850
Ethiopia,ETH,Net migration,-50132,-60001
Fiji,FJI,Net migration,-28754,-28720
Finland,FIN,Net migration,71143,107409
France,FRA,Net migration,480787,331555
French Polynesia,PYF,Net migration,-3463,-500
Gabon,GAB,Net migration,9566,5000
"Gambia, The",GMB,Net migration,-13742,-13476
Georgia,GEO,Net migration,-289534,-296323
Germany,DEU,Net migration,31640,1249998
Ghana,GHA,Net migration,189259,-49999
Greece,GRC,Net migration,80157,-136299
Grenada,GRD,Net migration,-4274,-4274
Guam,GUM,Net migration,-9776,0
Guatemala,GTM,Net migration,-132000,-120001
Guinea,GIN,Net migration,-55577,-10000
Guinea-Bissau,GNB,Net migration,-25000,-10000
Guyana,GUY,Net migration,-34129,-27278
Haiti,HTI,Net migration,-138004,-150000
Honduras,HND,Net migration,-99997,-80000
"Hong Kong SAR, China",HKG,Net migration,44716,150000
Hungary,HUN,Net migration,95789,29999
