country_name,country_code,year,trans_rank,net_migration,life_expectancy
Afghanistan,AFG,2005,NA,-677497,57.0272439
Albania,ALB,2005,NA,-252926,76.08160976
Algeria,DZA,2005,NA,-357340,72.19656098
Angola,AGO,2005,NA,85286,48.53880488
Antigua and Barbuda,ATG,2005,NA,-92,74.42543902
Arab World,ARB,2005,NA,4413525,68.75448786
Argentina,ARG,2005,NA,-84998,74.68780488
Armenia,ARM,2005,NA,-136009,73.28739024
Aruba,ABW,2005,NA,-441,74.22807317
Australia,AUS,2005,NA,1132688,80.84146341
Austria,AUT,2005,NA,153763,79.33170732
Azerbaijan,AZE,2005,NA,-96798,68.93726829
Bahamas  The,BHS,2005,NA,14363,73.63887805
Bahrain,BHR,2005,NA,316544,75.42214634
Bangladesh,BGD,2005,NA,-3570954,67.97185366
Barbados,BRB,2005,NA,2050,74.03034146
Belarus,BLR,2005,NA,63933,68.85121951
Belgium,BEL,2005,NA,267204,78.9804878
Belize,BLZ,2005,NA,8722,69.08636585
Benin,BEN,2005,NA,50000,57.06597561
Bhutan,BTN,2005,NA,16829,64.91843902
Bolivia,BOL,2005,NA,-84003,63.53978049
Bosnia and Herzegovina,BIH,2005,NA,3677,75.09353659
Botswana,BWA,2005,NA,18730,54.55221951
Brazil,BRA,2005,NA,0,71.83963415
Brunei Darussalam,BRN,2005,NA,2441,76.21346341
Bulgaria,BGR,2005,NA,-83002,72.56097561
Burkina Faso,BFA,2005,NA,-125000,53.58131707
Burundi,BDI,2005,NA,163733,52.69695122
Cabo Verde,CPV,2005,NA,-25866,71.52353659
Cambodia,KHM,2005,NA,-295987,62.96770732
Cameroon,CMR,2005,NA,-90000,51.88904878
Canada,CAN,2005,NA,1229905,80.29268293
Caribbean small states,CSS,2005,NA,-127609,71.08422353
Central African Republic,CAF,2005,NA,5000,44.73809756
Central Europe and the Baltics,CEB,2005,NA,-811784,73.83907249
Chad,TCD,2005,NA,70000,47.97390244
Channel Islands,CHI,2005,NA,4479,78.90321951
Chile,CHL,2005,NA,139345,78.63829268
China,CHN,2005,NA,-2202103,73.76695122
Colombia,COL,2005,NA,-143000,72.26392683
Comoros,COM,2005,NA,-10000,60.10978049
Congo  Dem. Rep.,COD,2005,NA,-43426,53.63829268
Congo  Rep.,COG,2005,NA,49872,53.56153659
Costa Rica,CRI,2005,NA,30339,78.08665854
Cote d'Ivoire,CIV,2005,NA,-220000,47.75185366
Croatia,HRV,2005,NA,-22532,75.24463415
Cuba,CUB,2005,NA,-193998,77.93214634
Curacao,CUW,2005,NA,15363,
Cyprus,CYP,2005,NA,44166,78.58960976
Czech Republic,CZE,2005,NA,250889,75.92439024
Denmark,DNK,2005,NA,87989,77.84390244
Djibouti,DJI,2005,NA,-19965,57.98429268
Dominican Republic,DOM,2005,NA,-153773,71.70039024
East Asia & Pacific (all income levels),EAS,2005,NA,-5719538,73.06039715
East Asia & Pacific (developing only),EAP,2005,NA,-8308340,72.12440044
Ecuador,ECU,2005,NA,-44999,74.13797561
Egypt  Arab Rep.,EGY,2005,NA,-279228,69.42968293
El Salvador,SLV,2005,NA,-285671,70.17892683
Equatorial Guinea,GNQ,2005,NA,20000,53.67458537
Eritrea,ERI,2005,NA,-160001,58.59241463
Estonia,EST,2005,NA,-15151,72.56829268
Ethiopia,ETH,2005,NA,-50132,56.23656098
Euro area,EMU,2005,NA,4638063,79.42614449
Europe & Central Asia (all income levels),ECS,2005,NA,7418656,74.08995434
Europe & Central Asia (developing only),ECA,2005,NA,-2098386,69.98467499
European Union,EUU,2005,NA,5884417,78.36387107
Fiji,FJI,2005,NA,-28754,68.49178049
Finland,FIN,2005,NA,71143,78.81707317
Fragile and conflict affected situations,FCS,2005,NA,-2970463,58.54223428
France,FRA,2005,NA,480787,80.16341463
French Polynesia,PYF,2005,NA,-3463,74.22668293
Gabon,GAB,2005,NA,9566,59.46804878
Gambia  The,GMB,2005,NA,-13742,57.89209756
Georgia,GEO,2005,NA,-289534,72.9902439
Germany,DEU,2005,NA,31640,78.93170732
Ghana,GHA,2005,NA,189259,58.70104878
Greece,GRC,2005,NA,80157,79.23902439
Grenada,GRD,2005,NA,-4274,71.37209756
Guam,GUM,2005,NA,-9776,76.74753659
Guatemala,GTM,2005,NA,-132000,69.64597561
Guinea,GIN,2005,NA,-55577,52.58660976
Guinea-Bissau,GNB,2005,NA,-25000,52.33929268
Guyana,GUY,2005,NA,-34129,65.5825122
Haiti,HTI,2005,NA,-138004,59.17846341
Heavily indebted poor countries (HIPC),HPC,2005,NA,-3090205,55.09235917
High income,HIC,2005,NA,24750592,77.01585677
High income: nonOECD,NOC,2005,NA,8430964,70.48258224
High income: OECD,OEC,2005,NA,16319628,78.95349862
Honduras,HND,2005,NA,-99997,71.48217073
Hong Kong SAR  China,HKG,2005,NA,44716,81.5804878
Hungary,HUN,2005,NA,95789,72.64878049
Iceland,ISL,2005,NA,8041,81.50243902
India,IND,2005,NA,-2829378,64.52387805
Indonesia,IDN,2005,NA,-1116994,67.16856098
Iran  Islamic Rep.,IRN,2005,NA,-549266,71.93170732
Iraq,IRQ,2005,NA,-457332,68.38168293
Ireland,IRL,2005,NA,198144,78.94390244
Israel,ISR,2005,NA,273635,80.15121951
Italy,ITA,2005,NA,1006308,80.78292683
Jamaica,JAM,2005,NA,-94999,73.42802439
Japan,JPN,2005,NA,445267,81.92512195
Jordan,JOR,2005,NA,449998,72.63890244
Kazakhstan,KAZ,2005,NA,-35196,65.9097561
Kenya,KEN,2005,NA,-189330,53.51982927
Kiribati,KIR,2005,NA,-578,64.78236585
Korea  Dem. PeopleÕs Rep.,PRK,2005,NA,0,68.157
Korea  Rep.,KOR,2005,NA,404715,78.43268293
Kuwait,KWT,2005,NA,522000,73.65141463
Kyrgyz Republic,KGZ,2005,NA,-76604,67.95609756
Lao PDR,LAO,2005,NA,-117700,61.7345122
Latin America & Caribbean (all income levels),LCN,2005,NA,-2675725,72.91683044
Latin America & Caribbean (developing only),LAC,2005,NA,-2527383,72.50259579
Latvia,LVA,2005,NA,-86168,71.35609756
Least developed countries: UN classification,LDC,2005,NA,-8375096,58.39937938
Lebanon,LBN,2005,NA,183370,76.83258537
Lesotho,LSO,2005,NA,-24418,43.65773171
Liberia,LBR,2005,NA,175585,55.06617073
Libya,LBY,2005,NA,-82008,71.471
Lithuania,LTU,2005,NA,-141659,71.25365854
Low & middle income,LMY,2005,NA,-24793815,66.97634771
Low income,LIC,2005,NA,-2673046,55.39140336
Lower middle income,LMC,2005,NA,-17242316,64.35627038
Luxembourg,LUX,2005,NA,42279,79.43170732
Macao SAR  China,MAC,2005,NA,56322,78.64902439
Macedonia  FYR,MKD,2005,NA,-4999,74.08890244
Madagascar,MDG,2005,NA,-5000,61.18729268
Malawi,MWI,2005,NA,-36820,48.27592683
Malaysia,MYS,2005,NA,652234,73.60060976
Maldives,MDV,2005,NA,-53,74.33234146
Mali,MLI,2005,NA,-100823,52.57970732
Malta,MLT,2005,NA,13525,79.3
Mauritania,MRT,2005,NA,-20000,60.66036585
Mauritius,MUS,2005,NA,-12079,72.43219512
Mexico,MEX,2005,NA,-409596,75.28209756
Micronesia  Fed. Sts.,FSM,2005,NA,-12132,67.92436585
Middle East & North Africa (all income levels),MEA,2005,NA,5031419,70.948969
Middle East & North Africa (developing only),MNA,2005,NA,-1442624,70.3982242
Middle income,MIC,2005,NA,-22120769,68.178659
Moldova,MDA,2005,NA,-47911,67.67807317
Mongolia,MNG,2005,NA,-15001,65.16692683
Montenegro,MNE,2005,NA,-3108,73.58429268
Morocco,MAR,2005,NA,-577912,70.43982927
Mozambique,MOZ,2005,NA,-50000,50.64160976
Myanmar,MMR,2005,NA,-1466799,63.55526829
